"","database","category","pval","qval","genes"
"163","GO_Biological_Process_2017","cornification (GO:0070268)",3.14468506488724e-41,1.72328741555821e-38,"FLG,SPRR2E,SPRR2G,KRT80,KLK5,KRT23,PPL,EVPL,LCE1A,TGM1,CASP14,PERP,PRSS8,TGM5,DSP,CDSN,JUP,KRT2,KRT1,SPINK5,KRT79,KRT78,KRT77,KRT5,KRT10,LOR,KRT73,KRT19,KRT15,KRT14,PKP1,DSG1,PKP3,DSG3,DSC1,IVL,DSC3"
"164","GO_Biological_Process_2017","epidermis development (GO:0008544)",7.12274150853238e-34,1.95163117333787e-31,"SPRR2E,COL17A1,SPRR2G,CALML5,LAMA3,KLK5,EVPL,KLK7,SCEL,CASP14,TGM5,DSP,CDSN,KRT2,C1ORF68,GRHL3,KRT5,GRHL1,POU2F3,GRHL2,FOXN1,LCE2B,ACER1,KRT15,COL7A1,KRT14,GJB5,ZNF750"
"165","GO_Biological_Process_2017","keratinocyte differentiation (GO:0030216)",3.30827735297182e-29,6.04311996476187e-27,"SPRR2E,DSP,CERS3,FLG,SPRR2G,CDSN,C1ORF68,KRT10,LCE1E,EVPL,LCE1C,LOR,LCE2D,LCE1A,LCE2B,TGM1,SCEL,LCE1B,LCE2C,ACER1,LCE5A,TXNIP,IVL,TGM3"
"166","GO_Biological_Process_2017","peptide cross-linking (GO:0018149)",5.21114309207776e-25,7.13926603614654e-23,"DSP,FLG,SPRR2E,KRT2,KRT1,C1ORF68,KRT10,LCE1E,EVPL,LOR,LCE2D,LCE1C,LCE2B,TGM1,LCE1A,LCE2C,LCE1B,LCE5A,IVL,TGM3"
"167","GO_Biological_Process_2017","keratinization (GO:0031424)",5.30923860664552e-16,5.81892551288349e-14,"DSP,KRT80,JUP,KRT2,KRT1,KRT79,KRT23,KRT78,KRT77,KRT5,KRT10,KRT73,CASP14,KRT19,KRT15,KRT14,PKP1,DSG1,PKP3,DSG3,DSC1,DSC3"
"168","GO_Biological_Process_2017","establishment of skin barrier (GO:0061436)",4.67556720566915e-12,4.27035138117783e-10,"FLG,FLG2,CLDN4,ALOX12B,SFN,CLDN1,ALOXE3,TP63"
"170","GO_Biological_Process_2017","skin epidermis development (GO:0098773)",6.85758976809607e-10,5.36851313273806e-08,"FLG,SPRR2E,KRT2,KRT1,KRT10,LOR"
"169","GO_Biological_Process_2017","hemidesmosome assembly (GO:0031581)",1.42076722140547e-07,9.73225546662745e-06,"COL17A1,ITGB4,LAMA3,KRT14,KRT5"
"171","GO_Biological_Process_2017","phosphatidylethanolamine acyl-chain remodeling (GO:0036152)",3.06963690317495e-05,0.00186906780326653,"PLA2G2F,PLA2G4F,PLA2G4D,PLA2G4E,PLA2G3"
"173","GO_Biological_Process_2017","phosphatidylcholine acyl-chain remodeling (GO:0036151)",3.72313468067023e-05,0.00204027780500728,"PLA2G2F,PLA2G4F,PLA2G4D,PLA2G4E,PLA2G3"
"298","GO_Biological_Process_2017","sphingolipid metabolic process (GO:0006665)",5.72339260827858e-05,0.0028512901357606,"ACER1,ALOX12B,ALOXE3"
"172","GO_Biological_Process_2017","phosphatidylinositol acyl-chain remodeling (GO:0036149)",6.68588029891183e-05,0.0030532186698364,"PLA2G2F,PLA2G4F,PLA2G4D,PLA2G4E"
"175","GO_Biological_Process_2017","phosphatidylglycerol acyl-chain remodeling (GO:0036148)",8.64426276186968e-05,0.00364388922577276,"PLA2G2F,PLA2G4F,PLA2G4D,PLA2G3"
"251","GO_Biological_Process_2017","keratinocyte proliferation (GO:0043616)",9.90909482238113e-05,0.0038787028304749,"FERMT1,SDR16C5,KRT2"
"174","GO_Biological_Process_2017","extracellular matrix disassembly (GO:0022617)",0.000111697122630877,0.00408066821344803,"PRSS1,CAPNS2,MMP3,LAMA3,TPSAB1,KLK7,DCN"
"176","GO_Biological_Process_2017","ceramide biosynthetic process (GO:0046513)",0.000170078630066434,0.00582519307977535,"CERS3,ALOX12B,DEGS2,ALOXE3"
"177","GO_Biological_Process_2017","phosphatidylserine acyl-chain remodeling (GO:0036150)",0.000207727021286733,0.00669614162736056,"PLA2G2F,PLA2G4F,PLA2G4D,PLA2G4E"
"191","GO_Biological_Process_2017","intermediate filament organization (GO:0045109)",0.000328998355320111,0.0100161721508567,"DSP,DES,EPPK1"
"461","GO_Biological_Process_2017","long-chain fatty-acyl-CoA metabolic process (GO:0035336)",0.00200802483681542,0.0550198805287424,"DGAT2,THEM5"
"563","GO_Biological_Process_2017","hepoxilin biosynthetic process (GO:0051122)",0.00200802483681542,0.0550198805287424,"ALOX12B,ALOXE3"
"183","GO_Biological_Process_2017","calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules (GO:0016338)",0.00280942900453744,0.0671868469692347,"CLDN4,CLDN8,CLDN1"
"262","GO_Biological_Process_2017","bundle of His cell-Purkinje myocyte adhesion involved in cell communication (GO:0086073)",0.00298342029241581,0.0671868469692347,"DSP,JUP"
"328","GO_Biological_Process_2017","sodium ion homeostasis (GO:0055078)",0.00298342029241581,0.0671868469692347,"SCNN1G,CYP4F12"
"413","GO_Biological_Process_2017","positive regulation of phospholipase activity (GO:0010518)",0.00298342029241581,0.0671868469692347,"FGFR3,FGFR2"
"179","GO_Biological_Process_2017","sphingolipid biosynthetic process (GO:0030148)",0.00306509338363297,0.0671868469692347,"CERS3,ACER1,SPTSSB,DEGS2"
"180","GO_Biological_Process_2017","phospholipid metabolic process (GO:0006644)",0.00334173673749739,0.0704335281595604,"PLA2G4F,PLA2G4D,PLA2G4E,PLA2G3"
"187","GO_Biological_Process_2017","arachidonic acid metabolic process (GO:0019369)",0.00371547024691791,0.0754102850115191,"ALOX12B,CYP4F12,ALOXE3"
"422","GO_Biological_Process_2017","epithelial cell morphogenesis (GO:0003382)",0.00413715202981132,0.080969975440593,"RAB25,GRHL2"
"202","GO_Biological_Process_2017","icosanoid metabolic process (GO:0006690)",0.00546391755990025,0.0965879620266237,"CYP4F8,CYP4F22"
"206","GO_Biological_Process_2017","acylglycerol acyl-chain remodeling (GO:0036155)",0.00546391755990025,0.0965879620266237,"DGAT2,AWAT2"
"388","GO_Biological_Process_2017","hair follicle morphogenesis (GO:0031069)",0.00546391755990025,0.0965879620266237,"TGM3,FGFR2"
"185","GO_Biological_Process_2017","bicellular tight junction assembly (GO:0070830)",0.00669310068270781,0.111146035579511,"GRHL2,CLDN1,MPP7"
