"log2FoldChange","AveExpr","t","pvalue","padj","identifier","value","up_down","gene","tax_id","GeneID","LocusTag","chromosome","map_location","description","type","Symbol_autho","name","status","other"
-28.8168161335243,-2.57085838077457,-8.13562550394964,1.84151417443594e-15,6.09328709333554e-13,"ENSG00000167768",-28.8168161335243,"down","KRT1",9606,3848,"NULL","12","12q13.13","keratin 1","protein-coding","KRT1","keratin 1","O","67 kDa cytokeratin|CK-1|cytokeratin 1|cy"
-27.0966450719595,-4.08075185284545,-10.7135004304908,1.98496162389362e-24,4.26915621258921e-21,"ENSG00000172867",-27.0966450719595,"down","KRT2",9606,3849,"NULL","12","12q13.13","keratin 2","protein-coding","KRT2","keratin 2","O","cytokeratin-2e|epithelial keratin-2e|ker"
-25.6392858376077,-3.53102718549002,-9.69472487944497,1.07766194422951e-20,1.26424441448271e-17,"ENSG00000143520",-25.6392858376077,"down","FLG2",9606,388698,"RP1-14N1.3","1","1q21.3","filaggrin family member 2","protein-coding","FLG2","filaggrin family member 2","O","FLG-2|filaggrin 2|filaggrin-2|ifapsorias"
-25.4846577870244,-6.34706860959335,-13.0675074522018,7.69037821469921e-34,9.92404856715859e-30,"ENSG00000161634",-25.4846577870244,"down","DCD",9606,117159,"NULL","12","12q13.1","dermcidin","protein-coding","DCD","dermcidin","O","diffusible survival/evasion peptide|prep"
-23.5639159521776,-4.16297084002712,-6.74992839874087,2.21343388792592e-11,2.19717366205693e-09,"ENSG00000105141",-23.5639159521776,"down","CASP14",9606,23581,"NULL","19","19p13.1","caspase 14, apoptosis-related cysteine peptidase","protein-coding","CASP14","caspase 14, apoptosis-related cysteine peptidase","O","CASP-14|apoptosis-related cysteine prote"
-23.1961732389821,-3.44883630029362,-6.96894830606638,5.46102142512925e-12,6.55551171912376e-10,"ENSG00000188508",-23.1961732389821,"down","KRTDAP",9606,388533,"UNQ467/PRO826","19","19q13.12","keratinocyte differentiation-associated protein","protein-coding","KRTDAP","keratinocyte differentiation-associated protein","O","KIPV467"
-23.068303113114,-1.43398848286107,-7.04356259952137,3.36433573554915e-12,4.38536065650444e-10,"ENSG00000137699",-23.068303113114,"down","TRIM29",9606,23650,"NULL","11","11q23.3","tripartite motif containing 29","protein-coding","TRIM29","tripartite motif containing 29","O","ataxia telangiectasia group D-associated"
-23.0425436299896,0.613940828508716,-5.1212440225834,2.40859326708571e-07,6.11242710228271e-06,"ENSG00000186081",-23.0425436299896,"down","KRT5",9606,3852,"NULL","12","12q13.13","keratin 5","protein-coding","KRT5","keratin 5","O","58 kda cytokeratin|CK-5|cytokeratin-5|ep"
-22.6115998472482,-4.19334312556596,-6.45182558786016,1.39967497971195e-10,1.04104356055866e-08,"ENSG00000204539",-22.6115998472482,"down","CDSN",9606,1041,"DADB-141O4.5","6","6p21.3","corneodesmosin","protein-coding","CDSN","corneodesmosin","O","differentiated keratinocyte S protein"
-22.6045135013168,-5.00944177374037,-7.3532200225673,4.32610688123026e-13,7.50840586966773e-11,"ENSG00000203782",-22.6045135013168,"down","LOR",9606,4014,"NULL","1","1q21","loricrin","protein-coding","LOR","loricrin","O","NULL"
-22.4677907519419,4.8691265389852,-7.47446460153734,1.90372834776013e-13,3.53477157750656e-11,"ENSG00000186395",-22.4677907519419,"down","KRT10",9606,3858,"NULL","17","17q21","keratin 10","protein-coding","KRT10","keratin 10","O","CK-10|cytokeratin 10|keratin, type I cyt"
-22.4176442047624,0.0659842090266845,-6.69365493925899,3.14018598227527e-11,2.96868351708947e-09,"ENSG00000081277",-22.4176442047624,"down","PKP1",9606,5317,"NULL","1","1q32","plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)","protein-coding","PKP1","plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)","O","band 6 protein|plakophilin-1"
-22.3374629649278,-3.37441234510618,-6.76462157824431,2.00912075252903e-11,2.0098216086055e-09,"ENSG00000134760",-22.3374629649278,"down","DSG1",9606,1828,"NULL","18","18q12.1","desmoglein 1","protein-coding","DSG1","desmoglein 1","O","DGI|cadherin family member 4|desmoglein-"
-22.0831915494115,-0.639019531492186,-6.8806307105261,9.60457011232404e-12,1.06388133059644e-09,"ENSG00000189001",-22.0831915494115,"down","SBSN",9606,374897,"UNQ698/PRO1343","19","19q13.13","suprabasin","protein-coding","SBSN","suprabasin","O","HLAR698"
-22.0774977828585,0.309396256293533,-4.71051321208948,1.81023577591589e-06,3.35876169235178e-05,"ENSG00000186847",-22.0774977828585,"down","KRT14",9606,3861,"NULL","17","17q12-q21","keratin 14","protein-coding","KRT14","keratin 14","O","CK-14|cytokeratin 14|cytokeratin-14|kera"
-22.0406117700234,-3.90245528329538,-6.01813373868781,1.82743858175679e-09,9.66482835175428e-08,"ENSG00000178372",-22.0406117700234,"down","CALML5",9606,51806,"NULL","10","10p15.1","calmodulin-like 5","protein-coding","CALML5","calmodulin-like 5","O","calmodulin-like protein 5|calmodulin-lik"
-21.582650012801,-5.51283261362728,-8.30528020232657,5.28312549403792e-16,2.07975220785611e-13,"ENSG00000189182",-21.582650012801,"down","KRT77",9606,374454,"NULL","12","12q13.13","keratin 77","protein-coding","KRT77","keratin 77","O","CK-1B|K77|cytokeratin-1B|keratin 1B|kera"
-21.4690311816815,-4.04347972849516,-7.70249805678958,3.95425746924115e-14,9.03145407288893e-12,"ENSG00000168907",-21.4690311816815,"down","PLA2G4F",9606,255189,"NULL","15","15q15.1","phospholipase A2, group IVF","protein-coding","PLA2G4F","phospholipase A2, group IVF","O","cPLA2-zeta|cytosolic phospholipase A2 ze"
-21.2633043707049,-4.50070610889076,-7.29422959263161,6.40920915984027e-13,1.04034766796426e-10,"ENSG00000134765",-21.2633043707049,"down","DSC1",9606,1823,"NULL","18","18q12.1","desmocollin 1","protein-coding","DSC1","desmocollin 1","O","cadherin family member 1|desmocollin-1|d"
-21.1369995033365,-4.84963688793773,-6.82679888422577,1.35031085971327e-11,1.42828577780081e-09,"ENSG00000203786",-21.1369995033365,"down","KPRP",9606,448834,"NULL","1","1q21.3","keratinocyte proline-rich protein","protein-coding","KPRP","keratinocyte proline-rich protein","O","hKPRP|keratinocyte expressed, proline-ri"
-21.088931687375,-1.81862951353581,-7.24342606845273,8.9899151334978e-13,1.39771517879786e-10,"ENSG00000171346",-21.088931687375,"down","KRT15",9606,3866,"NULL","17","17q21.2","keratin 15","protein-coding","KRT15","keratin 15","O","CK-15|cytokeratin 15|cytokeratin-15|kera"
-20.9778621670799,-5.44144486019954,-7.67453026957914,4.80014559753394e-14,1.06799101488581e-11,"ENSG00000178597",-20.9778621670799,"down","PSAPL1",9606,768239,"NULL","4","4p16.1","prosaposin-like 1 (gene/pseudogene)","protein-coding","PSAPL1","prosaposin-like 1 (gene/pseudogene)","O","proactivator polypeptide-like 1|prosapos"
-20.7686916634547,3.04722716709986,-5.12879858961251,2.27026255237379e-07,5.80705710745443e-06,"ENSG00000096696",-20.7686916634547,"down","DSP",9606,1832,"NULL","6","6p24","desmoplakin","protein-coding","DSP","desmoplakin","O","250/210 kDa paraneoplastic pemphigus ant"
-20.7685219015767,-2.19052429752871,-6.25652487858266,4.49782639181482e-10,2.93884560370503e-08,"ENSG00000134762",-20.7685219015767,"down","DSC3",9606,1825,"NULL","18","18q12.1","desmocollin 3","protein-coding","DSC3","desmocollin 3","O","cadherin family member 3|desmocollin-3|d"
-20.6206042290173,-3.14566076329765,-5.7602792407154,7.82316789114772e-09,3.30996950987921e-07,"ENSG00000178934",-20.6206042290173,"down","LGALS7B",9606,653499,"NULL","19","19q13.2","lectin, galactoside-binding, soluble, 7B","protein-coding","LGALS7B","lectin, galactoside-binding, soluble, 7B","O","galectin 7B|galectin-7|galectin-7B|kerat"
-20.503358155334,-5.79950763522312,-7.64150915966984,6.03144535634987e-14,1.28649234051267e-11,"ENSG00000198854",-20.503358155334,"down","C1orf68",9606,100129271,"RP1-43O17.3","1","1q21.3","chromosome 1 open reading frame 68","protein-coding","C1orf68","chromosome 1 open reading frame 68","O","skin-specific protein (xp32)|skin-specif"
-20.0746433175382,-0.721909332035858,-6.59848874208127,5.63839280678747e-11,4.86693243981197e-09,"ENSG00000065618",-20.0746433175382,"down","COL17A1",9606,1308,"RP11-16H23.2","10","10q24.3","collagen, type XVII, alpha 1","protein-coding","COL17A1","collagen, type XVII, alpha 1","O","180 kDa bullous pemphigoid antigen 2|alp"
-19.9871401682002,-1.60811861429816,-8.03976378951734,3.63564221611997e-15,1.10390929359812e-12,"ENSG00000131746",-19.9871401682002,"down","TNS4",9606,84951,"PP14434","17","17q21.2","tensin 4","protein-coding","TNS4","tensin 4","O","C terminal tensin like|C-terminal tensin"
-19.93127115935,-3.38737080695066,-5.82111187319791,5.54569290272486e-09,2.46773772631769e-07,"ENSG00000167656",-19.93127115935,"down","LY6D",9606,8581,"NULL","8","8q24","lymphocyte antigen 6 complex, locus D","protein-coding","LY6D","lymphocyte antigen 6 complex, locus D","O","e48 antigen|lymphocyte antigen 6D"
-19.8887678682224,-2.85272220214669,-7.43430821711382,2.4914080385585e-13,4.56033688419548e-11,"ENSG00000136155",-19.8887678682224,"down","SCEL",9606,8796,"NULL","13","13q22","sciellin","protein-coding","SCEL","sciellin","O","NULL"
-19.827910500738,-0.966829935393978,-8.90459111458304,5.75770816644169e-18,4.12779694632482e-15,"ENSG00000148600",-19.827910500738,"down","CDHR1",9606,92211,"NULL","10","10q23.1","cadherin-related family member 1","protein-coding","CDHR1","cadherin-related family member 1","O","MT-protocadherin|photoreceptor cadherin|"
-19.8166435411072,-4.3230341106311,-7.71842278678659,3.53304810681771e-14,8.21481428728453e-12,"ENSG00000165953",-19.8166435411072,"down","SERPINA12",9606,145264,"NULL","14","14q32.13","serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 12","protein-coding","SERPINA12","serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 12","O","serine (or cysteine) proteinase inhibito"
-19.6977656637568,-5.81097452649288,-6.71732314339252,2.68607927554882e-11,2.59644269747713e-09,"ENSG00000159455",-19.6977656637568,"down","LCE2B",9606,26239,"NULL","1","1q21","late cornified envelope 2B","protein-coding","LCE2B","late cornified envelope 2B","O","late cornified envelope protein 2B|late "
-19.6414940219451,2.14386222553548,-6.53284751823146,8.4405650123136e-11,6.77199796697674e-09,"ENSG00000143631",-19.6414940219451,"down","FLG",9606,2312,"NULL","1","1q21.3","filaggrin","protein-coding","FLG","filaggrin","O","epidermal filaggrin"
-19.6299336145321,-3.61301702651843,-7.56605128482563,1.01377544296352e-13,2.04410393808169e-11,"ENSG00000124429",-19.6299336145321,"down","POF1B",9606,79983,"RP1-75N13.2","X","Xq21.2","premature ovarian failure, 1B","protein-coding","POF1B","premature ovarian failure, 1B","O","premature ovarian failure protein 1B|pro"
-19.5188093743741,-5.32898287527837,-6.51557363352969,9.38076571331855e-11,7.33661158469814e-09,"ENSG00000126233",-19.5188093743741,"down","SLURP1",9606,57152,"NULL","8","8q24.3","secreted LY6/PLAUR domain containing 1","protein-coding","SLURP1","secreted LY6/PLAUR domain containing 1","O","ARS(component B)-81/S|SLURP-1|anti-neopl"
-19.445664493016,-6.31199407805925,-9.80015369724991,4.53324475814743e-21,5.57135780776319e-18,"ENSG00000110484",-19.445664493016,"down","SCGB2A2",9606,4250,"NULL","11","11q13","secretoglobin, family 2A, member 2","protein-coding","SCGB2A2","secretoglobin, family 2A, member 2","O","mammaglobin 1|mammaglobin A|mammaglobin-"
-19.3639169256153,-1.54787997164465,-6.68031766959031,3.38367617429406e-11,3.16410501385346e-09,"ENSG00000149968",-19.3639169256153,"down","MMP3",9606,4314,"NULL","11","11q22.3","matrix metallopeptidase 3 (stromelysin 1, progelatinase)","protein-coding","MMP3","matrix metallopeptidase 3 (stromelysin 1, progelatinase)","O","matrix metalloproteinase 3 (stromelysin "
-19.3590713405944,-4.59882357029315,-6.50316872472027,1.01164908929149e-10,7.79392577478333e-09,"ENSG00000204421",-19.3590713405944,"down","LY6G6C",9606,80740,"DADB-110M10.4","6","6p21.33","lymphocyte antigen 6 complex, locus G6C","protein-coding","LY6G6C","lymphocyte antigen 6 complex, locus G6C","O","lymphocyte antigen 6 complex locus prote"
-19.2385706671867,-3.36921697093547,-5.53477419477481,2.67107096063117e-08,9.45647056555964e-07,"ENSG00000206075",-19.2385706671867,"down","SERPINB5",9606,5268,"NULL","18","18q21.33","serpin peptidase inhibitor, clade B (ovalbumin), member 5","protein-coding","SERPINB5","serpin peptidase inhibitor, clade B (ovalbumin), member 5","O","PI-5|peptidase inhibitor 5|protease inhi"
-19.1904071581813,-3.67511332332841,-5.20244102344991,1.53713449202891e-07,4.270387955304e-06,"ENSG00000203785",-19.1904071581813,"down","SPRR2E",9606,6704,"NULL","1","1q21-q22","small proline-rich protein 2E","protein-coding","SPRR2E","small proline-rich protein 2E","O","SPR-2E|SPR-II|small proline-rich protein"
-19.1641844765913,-0.813745524917635,-6.29221919871222,3.61546840083415e-10,2.40493876178166e-08,"ENSG00000167880",-19.1641844765913,"down","EVPL",9606,2125,"NULL","17","17q25","envoplakin","protein-coding","EVPL","envoplakin","O","210 kDa cornified envelope precursor pro"
-19.148354083698,-4.46886661768752,-6.00013266873163,1.99869620395206e-09,1.04421761797163e-07,"ENSG00000205076",-19.148354083698,"down","LGALS7",9606,3963,"NULL","19","19q13.2","lectin, galactoside-binding, soluble, 7","protein-coding","LGALS7","lectin, galactoside-binding, soluble, 7","O","galectin 7|galectin-7"
-19.0188542362809,-4.26990660983644,-5.83141977727929,5.20943775905035e-09,2.33016254979775e-07,"ENSG00000167757",-19.0188542362809,"down","KLK11",9606,11012,"UNQ649/PRO1279","19","19q13.33","kallikrein-related peptidase 11","protein-coding","KLK11","kallikrein-related peptidase 11","O","hK11|hippostasin|kallikrein 11|kallikrei"
-18.9274882872098,3.31158609671524,-4.69385248518632,1.89365596889944e-06,3.4984514603669e-05,"ENSG00000161249",-18.9274882872098,"down","DMKN",9606,93099,"UNQ729/PRO1411","19","19q13.12","dermokine","protein-coding","DMKN","dermokine","O","epidermis-specific secreted protein SK30"
-18.5914820387379,-4.46802960230418,-5.95124723867597,2.63806383054501e-09,1.32013239755421e-07,"ENSG00000188089",-18.5914820387379,"down","PLA2G4E",9606,123745,"NULL","15","15q15.1","phospholipase A2, group IVE","protein-coding","PLA2G4E","phospholipase A2, group IVE","O","cPLA2-epsilon|cytosolic phospholipase A2"
-18.5255390730157,-3.32916739563021,-5.67314232320194,1.25223802003291e-08,4.97981680416476e-07,"ENSG00000265190",-18.5255390730157,"down","ANXA8",9606,653145,"RP11-301J7.3","10","10q11.22","annexin A8","protein-coding","ANXA8","annexin A8","O","VAC-beta|annexin VIII|annexin-8|vascular"
-18.4713966850705,-4.56089102229504,-5.72980899333699,9.15761431742447e-09,3.78158188669453e-07,"ENSG00000230937",-18.4713966850705,"down","MIR205HG",9606,642587,"NULL","1","1q32.2","MIR205 host gene (non-protein coding)","protein-coding","MIR205HG","MIR205 host gene (non-protein coding)","O","NPC-A-5|long intergenic non-protein codi"
-18.3923675748008,-4.40234462971648,-7.93009881694909,7.95326268799644e-15,2.18367826292022e-12,"ENSG00000142973",-18.3923675748008,"down","CYP4B1",9606,1580,"RP4-732G19.1","1","1p34-p12","cytochrome P450, family 4, subfamily B, polypeptide 1","protein-coding","CYP4B1","cytochrome P450, family 4, subfamily B, polypeptide 1","O","cytochrome P450 4B1|cytochrome P450, sub"
-18.2970586610955,1.06406033777135,-9.18522881493698,6.44125608350733e-19,5.93722779497288e-16,"ENSG00000171476",-18.2970586610955,"down","HOPX",9606,84525,"NULL","4","4q12","HOP homeobox","protein-coding","HOPX","HOP homeobox","O","homeodomain-only protein|lung cancer-ass"
-18.1928010767983,-5.49108701014282,-7.93369020296978,7.75201969487053e-15,2.1513104979023e-12,"ENSG00000109193",-18.1928010767983,"down","SULT1E1",9606,6783,"NULL","4","4q13.1","sulfotransferase family 1E, estrogen-preferring, member 1","protein-coding","SULT1E1","sulfotransferase family 1E, estrogen-preferring, member 1","O","estrogen sulfotransferase|estrone sulfot"
-18.1441634618463,-2.81805375205365,-7.03520145842277,3.51758941583876e-12,4.56208368006948e-10,"ENSG00000141579",-18.1441634618463,"down","ZNF750",9606,79755,"NULL","17","17q25.3","zinc finger protein 750","protein-coding","ZNF750","zinc finger protein 750","O","protein ZNF750"
-18.1270345139141,-5.19950752633495,-5.62382064520591,1.63708718753245e-08,6.25949381081853e-07,"ENSG00000175121",-18.1270345139141,"down","WFDC5",9606,149708,"UNQ3036/PRO9842","20","20q13.12","WAP four-disulfide core domain 5","protein-coding","WFDC5","WAP four-disulfide core domain 5","O","WAP four-disulfide core domain protein 5"
-18.0482816663537,-4.46207266079978,-4.90104586964334,6.91145015049187e-07,1.48896174402374e-05,"ENSG00000159516",-18.0482816663537,"down","SPRR2G",9606,6706,"NULL","1","1q21-q22","small proline-rich protein 2G","protein-coding","SPRR2G","small proline-rich protein 2G","O","SPR-2G"
