"","pert_iname","clinical_phase","moa","target","mean","n","median","sd","sRGES"
"188","prochlorperazine","Launched","dopamine receptor antagonist","DRD1|DRD2|DRD3|DRD4",-0.620398773006135,1,-0.620398773006135,NA,-0.620398773006135
"271","ZK-93423","Phase 3","benzodiazepine receptor agonist","GABRA1|GABRA2|GABRA3|GABRA5|GABRB2|GABRG2",-0.588701431492842,1,-0.588701431492842,NA,-0.588701431492842
"239","torin-2","Preclinical","mTOR inhibitor","MTOR",-0.536042944785276,1,-0.536042944785276,NA,-0.536042944785276
"171","PD-0325901","Phase 2","MEK inhibitor","MAP2K1",-0.512014314928425,1,-0.512014314928425,NA,-0.512014314928425
"47","CGS-15943","Preclinical","adenosine receptor antagonist","ADORA1|ADORA2A|ADORA2B|ADORA3",-0.510864008179959,2,-0.510864008179959,0.115862844258839,-0.510864008179959
"172","perhexiline","Launched","carnitine palmitoyltransferase inhibitor","CPT1A|CPT2",-0.491564417177914,1,-0.491564417177914,NA,-0.491564417177914
"247","triciribine","Phase 1/Phase 2","AKT inhibitor","AKT1|AKT2|AKT3",-0.486451942740286,1,-0.486451942740286,NA,-0.486451942740286
"150","neratinib","Phase 3","EGFR inhibitor","EGFR|ERBB2|KDR",-0.48159509202454,1,-0.48159509202454,NA,-0.48159509202454
"100","FGIN-1-43","Preclinical","benzodiazepine receptor agonist","TSPO",-0.473415132924335,1,-0.473415132924335,NA,-0.473415132924335
"83","enzastaurin","Phase 3","PKC inhibitor","AKT1|GSK3B|PRKCA|PRKCB|PRKCD|PRKCG",-0.466598500340832,3,-0.471881390593047,0.201227885775092,-0.466598500340832
"44","cediranib","Phase 3","KIT inhibitor|VEGFR inhibitor","CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB",-0.456288343558283,2,-0.456288343558283,0.0643481631141132,-0.456288343558283
"119","KI-8751","Preclinical","KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor","KDR",-0.453220858895706,1,-0.453220858895706,NA,-0.453220858895706
"67","dequalinium","Launched","PKC inhibitor","KCNN1|KCNN3",-0.42101226993865,1,-0.42101226993865,NA,-0.42101226993865
"14","andarine","Phase 1","androgen receptor modulator","AR",-0.413343558282209,1,-0.413343558282209,NA,-0.413343558282209
"36","butein","Preclinical","EGFR inhibitor|src inhibitor","ACE",-0.413087934560327,1,-0.413087934560327,NA,-0.413087934560327
"28","BI-2536","Phase 2","PLK inhibitor","BRD4|PLK1|PLK2|PLK3",-0.406952965235174,1,-0.406952965235174,NA,-0.406952965235174
"87","erythrosine","Preclinical","coloring agent","",-0.403629856850716,1,-0.403629856850716,NA,-0.403629856850716
"244","tretinoin","Launched","retinoid receptor agonist|retinoid receptor ligand","ALDH1A1|ALDH1A2|GPRC5A|NR0B1|NR2C2|PPARD|RARA|RARB|RARG|RARRES1|RORB|RORC|RXRB|RXRG",-0.40081799591002,1,-0.40081799591002,NA,-0.40081799591002
"122","L-733060","Preclinical","tachykinin antagonist","TACR1",-0.400306748466258,1,-0.400306748466258,NA,-0.400306748466258
"160","NVP-TAE684","Preclinical","ALK tyrosine kinase receptor inhibitor","ALK|INSR",-0.395449897750511,2,-0.395449897750511,0.173523136487496,-0.395449897750511
"116","irinotecan","Launched","topoisomerase inhibitor","TOP1|TOP1MT",-0.392382413087935,1,-0.392382413087935,NA,-0.392382413087935
"94","EX-527","Phase 2","SIRT inhibitor","SIRT1",-0.382668711656442,1,-0.382668711656442,NA,-0.382668711656442
"58","crizotinib","Launched","ALK tyrosine kinase receptor inhibitor","ALK|MET",-0.381901840490798,1,-0.381901840490798,NA,-0.381901840490798
"54","closantel","Launched","chitinase inhibitor|NFkB pathway inhibitor","",-0.377556237218814,1,-0.377556237218814,NA,-0.377556237218814
"109","GSK-3-inhibitor-IX","Preclinical","glycogen synthase kinase inhibitor|lipoxygenase inhibitor","GSK3A|GSK3B",-0.375,1,-0.375,NA,-0.375
"82","enzalutamide","Launched","androgen receptor antagonist","AR",-0.373721881390593,1,-0.373721881390593,NA,-0.373721881390593
"268","YM-155","Phase 2","survivin inhibitor","BIRC5",-0.372443762781186,1,-0.372443762781186,NA,-0.372443762781186
"147","naltrindole","Preclinical","opioid receptor antagonist","OPRD1|OPRK1|OPRM1",-0.370143149284254,1,-0.370143149284254,NA,-0.370143149284254
"29","bisacodyl","Launched","laxative","",-0.367842535787321,1,-0.367842535787321,NA,-0.367842535787321
"272","ZM-336372","Preclinical","RAF inhibitor","BRAF|LCK|MAPK14|RAF1",-0.367075664621677,2,-0.367075664621677,0.0285590162135673,-0.367075664621677
"196","pyrvinium-pamoate","Launched","androgen receptor antagonist","AR",-0.360940695296524,2,-0.360940695296524,0.109897986442081,-0.360940695296524
"221","suloctidil","Withdrawn","adrenergic receptor antagonist","",-0.359023517382413,2,-0.359023517382413,0.000542259801523305,-0.359023517382413
"75","doramapimod","Phase 2","p38 MAPK inhibitor","MAPK11|MAPK12|MAPK13|MAPK14",-0.355316973415133,1,-0.355316973415133,NA,-0.355316973415133
"21","auranofin","Launched","NFkB pathway inhibitor","IKBKB|PRDX5|TRPA1",-0.352505112474438,1,-0.352505112474438,NA,-0.352505112474438
"22","AZ-628","Preclinical","RAF inhibitor","BRAF|RAF1",-0.352505112474438,1,-0.352505112474438,NA,-0.352505112474438
"183","pizotifen","Launched","serotonin receptor antagonist","HTR1A|HTR2A|HTR2C",-0.350971370143149,2,-0.350971370143149,0.139541522258695,-0.350971370143149
"276","zuclopenthixol","Launched","dopamine receptor antagonist","ADRA1A|ADRA2A|DRD1|DRD2|DRD5|HRH1|HTR2A",-0.349948875255624,1,-0.349948875255624,NA,-0.349948875255624
"127","loratadine","Launched","histamine receptor antagonist","HRH1",-0.347648261758691,1,-0.347648261758691,NA,-0.347648261758691
"34","bromperidol","Launched","dopamine receptor antagonist","DRD2",-0.346370143149284,1,-0.346370143149284,NA,-0.346370143149284
"223","talniflumate","Launched","cyclooxygenase inhibitor","CLCA1",-0.345347648261759,1,-0.345347648261759,NA,-0.345347648261759
"234","thiothixene","Launched","dopamine receptor antagonist","DRD1|DRD2|HRH1|HTR2A",-0.344580777096115,1,-0.344580777096115,NA,-0.344580777096115
