"","database","category","pval","qval","genes"
"183","GO_Biological_Process_2017","sister chromatid cohesion (GO:0007062)",1.37277605206036e-11,1.14764077952246e-08,"CDCA5,CDCA8,CENPA,NDC80,CDC20,CENPE,KIF18A,CENPF,CENPI,CENPK,NUF2,CENPL,BIRC5,CENPM,KIF2C"
"186","GO_Biological_Process_2017","chromosome segregation (GO:0007059)",3.14100670103618e-08,1.31294080103313e-05,"TOP2A,CENPE,CENPF,NUF2,HJURP,NEK2,OIP5,KIF11,NDC80"
"184","GO_Biological_Process_2017","mitotic metaphase plate congression (GO:0007080)",7.14932809552713e-08,1.99227942928689e-05,"CENPE,KIF18A,CCNB1,CDCA5,KIF14,CDCA8,KIF2C,CEP55"
"185","GO_Biological_Process_2017","CENP-A containing nucleosome assembly (GO:0034080)",1.75032200359713e-07,3.65817298751799e-05,"CENPI,CENPK,CENPL,HJURP,CENPM,OIP5,CENPA"
"187","GO_Biological_Process_2017","mitotic cytokinesis (GO:0000281)",2.25415777942174e-07,3.76895180719314e-05,"ANLN,KIF4A,STMN1,KIF23,KIF20A,CENPA,CEP55"
"188","GO_Biological_Process_2017","mitotic cell cycle (GO:0000278)",5.86616590265202e-07,8.17352449102849e-05,"CENPE,TPX2,CENPF,PPP2R2C,CDCA5,KIF2C,NEK2,KIF11,PKMYT1,NDC80"
"190","GO_Biological_Process_2017","regulation of cell cycle (GO:0051726)",3.20237282009386e-06,0.000379321758659524,"CENPF,BEX2,CCNB1,MYBL2,PKMYT1,FOXM1,PRR11,DTL"
"191","GO_Biological_Process_2017","microtubule-based movement (GO:0007018)",3.62987328860789e-06,0.000379321758659524,"CENPE,KIF18A,KIF4A,KIF14,KIF23,KIF2C,KIF20A,KIF11"
"193","GO_Biological_Process_2017","microtubule depolymerization (GO:0007019)",9.32730309763978e-06,0.000866402821069651,"KIF18A,STMN1,KIF14,KIF2C"
"196","GO_Biological_Process_2017","metaphase plate congression (GO:0051310)",1.44858441004327e-05,0.00121101656679617,"CENPE,CENPF,KIF2C,NDC80"
"192","GO_Biological_Process_2017","G2/M transition of mitotic cell cycle (GO:0000086)",1.89438292165497e-05,0.00143973102045777,"CCNA2,TPX2,CCNB1,CDKN2B,USH1C,NEK2,HMMR,PKMYT1,FOXM1,TUBB4A"
"194","GO_Biological_Process_2017","antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886)",5.81240551492871e-05,0.00404930917540033,"CD74,CENPE,KIF18A,KIF4A,KIF23,KIF2C,KIF11,AP1M2"
"195","GO_Biological_Process_2017","mitotic spindle organization (GO:0007052)",8.64302089239485e-05,0.00555812728157085,"CCNB1,STMN1,TTK,KIF11,NDC80"
"204","GO_Biological_Process_2017","kinetochore assembly (GO:0051382)",0.000171787063479524,0.00957426567125882,"CENPE,CENPF,CENPA"
"228","GO_Biological_Process_2017","hair follicle morphogenesis (GO:0031069)",0.000171787063479524,0.00957426567125882,"TGFB2,KRT17,TGM3"
"201","GO_Biological_Process_2017","potassium ion import across plasma membrane (GO:1990573)",0.000254849290354228,0.0117978398159068,"KCNJ5,FXYD2,HCN2"
"222","GO_Biological_Process_2017","attachment of mitotic spindle microtubules to kinetochore (GO:0051315)",0.000254849290354228,0.0117978398159068,"CENPE,KIF2C,NDC80"
"189","GO_Biological_Process_2017","negative regulation of cell proliferation (GO:0008285)",0.000263681282217181,0.0117978398159068,"CDKN2B,TGFB2,CDKN2C,TESC,SIRPG,HMGA1,SFRP4,FABP3,RGCC,GPNMB,NOX4,CDH13,CDKN3"
"199","GO_Biological_Process_2017","activation of protein kinase activity (GO:0032147)",0.000282244971672412,0.0117978398159068,"TPX2,TGFB2,KIF14,CLSPN"
"200","GO_Biological_Process_2017","regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083)",0.000282244971672412,0.0117978398159068,"CDC45,ORC1,CCNE1,E2F1"
"198","GO_Biological_Process_2017","G1/S transition of mitotic cell cycle (GO:0000082)",0.000314440538966992,0.012517728122686,"CDKN2C,CDC45,ORC1,CCNE1,MCM10,MCM2,CDKN3"
"208","GO_Biological_Process_2017","DNA replication initiation (GO:0006270)",0.000400523684101855,0.0152198999958705,"CDC45,ORC1,MCM10,MCM2"
"219","GO_Biological_Process_2017","prostaglandin biosynthetic process (GO:0001516)",0.000645732620248334,0.0234709769794612,"CD74,PTGDS,PTGES"
"206","GO_Biological_Process_2017","mitotic chromosome condensation (GO:0007076)",0.000830255316360135,0.0289205601865447,"CDCA5,NCAPG,NCAPH"
"211","GO_Biological_Process_2017","regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)",0.000963134938198247,0.0322072323333494,"CDKN2B,CDKN2C,PKMYT1,CDKN3"
"202","GO_Biological_Process_2017","retrograde vesicle-mediated transport, Golgi to ER (GO:0006890)",0.00122043447722887,0.0392416624216669,"CENPE,KIF18A,KIF4A,KIF23,KIF2C,KIF11"
"203","GO_Biological_Process_2017","mitotic spindle assembly (GO:0090307)",0.00173616779140754,0.0537568990228408,"TPX2,BIRC5,MYBL2,KIF11"
"613","GO_Biological_Process_2017","positive regulation of granulocyte differentiation (GO:0030854)",0.00213377729658827,0.0556591486068062,"TESC,LEF1"
"632","GO_Biological_Process_2017","membrane repolarization during atrial cardiac muscle cell action potential (GO:0098914)",0.00213377729658827,0.0556591486068062,"KCNJ5,KCNQ1"
"638","GO_Biological_Process_2017","positive regulation of Wnt signaling pathway, planar cell polarity pathway (GO:2000096)",0.00213377729658827,0.0556591486068062,"DKK1,NKD1"
"727","GO_Biological_Process_2017","double-strand break repair via break-induced replication (GO:0000727)",0.00213377729658827,0.0556591486068062,"GINS2,CDC45"
"834","GO_Biological_Process_2017","regulation of mitotic centrosome separation (GO:0046602)",0.00213377729658827,0.0556591486068062,"NEK2,KIF11"
"232","GO_Biological_Process_2017","regulation of sodium ion transmembrane transporter activity (GO:2000649)",0.00224215844758394,0.0556591486068062,"FXYD3,FXYD2,FGF12"
"205","GO_Biological_Process_2017","DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)",0.00226364958448733,0.0556591486068062,"CCNB1,RGCC,E2F1,GTSE1,E2F8"
"230","GO_Biological_Process_2017","spindle organization (GO:0007051)",0.00263351988489561,0.0629035035363638,"ASPM,TTK,KIF11"
"480","GO_Biological_Process_2017","homocysteine metabolic process (GO:0050667)",0.00316930354233782,0.0662384440348604,"NOX4,DPEP1"
"529","GO_Biological_Process_2017","regulation of G2/M transition of mitotic cell cycle (GO:0010389)",0.00316930354233782,0.0662384440348604,"CENPF,KIF14"
"627","GO_Biological_Process_2017","dendritic spine development (GO:0060996)",0.00316930354233782,0.0662384440348604,"SLC12A5,EPHB2"
"677","GO_Biological_Process_2017","regulation of cytokine biosynthetic process (GO:0042035)",0.00316930354233782,0.0662384440348604,"IGF2BP3,IGF2BP2"
"730","GO_Biological_Process_2017","T cell migration (GO:0072678)",0.00316930354233782,0.0662384440348604,"CCL20,CCR6"
"216","GO_Biological_Process_2017","kidney development (GO:0001822)",0.00342195508120958,0.0697744987290539,"TGFB2,CENPF,REN,SULF1"
"210","GO_Biological_Process_2017","sensory perception of sound (GO:0007605)",0.00361478775234948,0.0719514895467659,"KCNQ1,SLC52A3,USH1C,DCDC2,BIRC5"
"235","GO_Biological_Process_2017","sprouting angiogenesis (GO:0002040)",0.00405009242286775,0.0770499214778874,"LEF1,CDH13,E2F8"
"215","GO_Biological_Process_2017","cell chemotaxis (GO:0060326)",0.00405525902515197,0.0770499214778874,"CCL25,CCL20,LEF1,CCR6"
"207","GO_Biological_Process_2017","skeletal system development (GO:0001501)",0.0043776588364079,0.079848917475692,"COMP,TGFB2,POSTN,SOX9,HOXA13,PITX1"
"610","GO_Biological_Process_2017","keratinocyte proliferation (GO:0043616)",0.00439360072234669,0.079848917475692,"FERMT1,CDH13"
"209","GO_Biological_Process_2017","DNA replication (GO:0006260)",0.00503458911350985,0.0853682327762064,"RNASEH2A,CDC45,ORC1,MCM10,CLSPN,MCM2"
"214","GO_Biological_Process_2017","chemotaxis (GO:0006935)",0.00516680925162605,0.0853682327762064,"CCL25,CXCL9,CCL20,ENPP2,CCR6"
"234","GO_Biological_Process_2017","positive regulation of release of cytochrome c from mitochondria (GO:0090200)",0.0052078706597925,0.0853682327762064,"PYCARD,BIK,MMP9"
