"","target","p","padj"
"PIK3CB","PIK3CB",0.006,1
"NCOR2","NCOR2",0.014,1
"ROS1","ROS1",0.02,1
"ESRRA","ESRRA",0.032,1
"TAOK1","TAOK1",0.034,1
"MAPK8","MAPK8",0.036,1
"LRRK2","LRRK2",0.039,1
"PAK4","PAK4",0.039,1
"PRKAA1","PRKAA1",0.039,1
"MYLK","MYLK",0.041,1
"TACR1","TACR1",0.042,1
"ROCK2","ROCK2",0.049,1
"ITK","ITK",0.05,1
"LTK","LTK",0.052,1
"PARP2","PARP2",0.052,1
"DAPK3","DAPK3",0.054,1
"HDAC1","HDAC1",0.055,1
"HDAC10","HDAC10",0.055,1
"HDAC11","HDAC11",0.055,1
"HDAC2","HDAC2",0.055,1
"HDAC3","HDAC3",0.055,1
"HDAC4","HDAC4",0.055,1
"HDAC5","HDAC5",0.055,1
"HDAC6","HDAC6",0.055,1
"HDAC7","HDAC7",0.055,1
"HDAC8","HDAC8",0.055,1
"HDAC9","HDAC9",0.055,1
"NEK2","NEK2",0.06,1
"CLK4","CLK4",0.065,1
"MAP2K2","MAP2K2",0.07,1
"EBPL","EBPL",0.073,1
"MARK4","MARK4",0.081,1
"PARP1","PARP1",0.082,1
"BLK","BLK",0.089,1
"KDM4DL","KDM4DL",0.091,1
"MAP4K4","MAP4K4",0.091,1
"ALK","ALK",0.092,1
"MAP2K1","MAP2K1",0.093,1
"TNKS","TNKS",0.094,1
"TNKS2","TNKS2",0.095,1
"TRAP1","TRAP1",0.096,1
"MAP4K5","MAP4K5",0.098,1
"MST1R","MST1R",0.098,1
"AURKC","AURKC",0.099,1
"PIK3CD","PIK3CD",0.1,1
"PIK3CG","PIK3CG",0.1,1
"PRKX","PRKX",0.102,1
"SCN9A","SCN9A",0.104,1
"CSK","CSK",0.108,1
"ESRRB","ESRRB",0.109,1
"GPER","GPER",0.109,1
"PIM3","PIM3",0.109,1
"SHBG","SHBG",0.109,1
"RARA","RARA",0.11,1
"RARB","RARB",0.11,1
"RARG","RARG",0.11,1
"MAP4K2","MAP4K2",0.111,1
"LTA4H","LTA4H",0.113,1
"HIPK2","HIPK2",0.116,1
"PDGFRA","PDGFRA",0.116,1
"NR0B1","NR0B1",0.117,1
"KIT","KIT",0.119,1
"ESRRG","ESRRG",0.124,1
"PLD1","PLD1",0.124,1
"PLD2","PLD2",0.124,1
"PLK3","PLK3",0.124,1
"PIK3R1","PIK3R1",0.126,1
"MAPK9","MAPK9",0.128,1
