"","target","p","padj"
"CHEMBL3987","CHEMBL3987",0,0
"CHEMBL2073","CHEMBL2073",0.002,1
"CHEMBL2336","CHEMBL2336",0.002,1
"CHEMBL3988","CHEMBL3988",0.002,1
"CHEMBL344","CHEMBL344",0.003,1
"CHEMBL267","CHEMBL267",0.004,1
"CHEMBL4145","CHEMBL4145",0.004,1
"CHEMBL4722","CHEMBL4722",0.004,1
"CHEMBL5081","CHEMBL5081",0.004,1
"CHEMBL2041","CHEMBL2041",0.005,1
"CHEMBL260","CHEMBL260",0.005,1
"CHEMBL4355","CHEMBL4355",0.005,1
"CHEMBL6166","CHEMBL6166",0.005,1
"CHEMBL1829","CHEMBL1829",0.006,1
"CHEMBL3068","CHEMBL3068",0.006,1
"CHEMBL5011","CHEMBL5011",0.006,1
"CHEMBL5082","CHEMBL5082",0.006,1
"CHEMBL5753","CHEMBL5753",0.006,1
"CHEMBL5838","CHEMBL5838",0.006,1
"CHEMBL3982","CHEMBL3982",0.007,1
"CHEMBL5072","CHEMBL5072",0.007,1
"CHEMBL2069","CHEMBL2069",0.008,1
"CHEMBL2331068","CHEMBL2331068",0.008,1
"CHEMBL3148","CHEMBL3148",0.008,1
"CHEMBL3981","CHEMBL3981",0.008,1
"CHEMBL4245","CHEMBL4245",0.008,1
"CHEMBL5047","CHEMBL5047",0.008,1
"CHEMBL1913","CHEMBL1913",0.009,1
"CHEMBL2111363","CHEMBL2111363",0.009,1
"CHEMBL3650","CHEMBL3650",0.009,1
"CHEMBL4142","CHEMBL4142",0.009,1
"CHEMBL4852","CHEMBL4852",0.009,1
"CHEMBL5364","CHEMBL5364",0.01,1
"CHEMBL1795165","CHEMBL1795165",0.011,1
"CHEMBL5014","CHEMBL5014",0.012,1
"CHEMBL5145","CHEMBL5145",0.012,1
"CHEMBL5147","CHEMBL5147",0.012,1
"CHEMBL5319","CHEMBL5319",0.012,1
"CHEMBL5465","CHEMBL5465",0.012,1
"CHEMBL1937","CHEMBL1937",0.013,1
"CHEMBL4246","CHEMBL4246",0.013,1
"CHEMBL1955","CHEMBL1955",0.014,1
"CHEMBL2111461","CHEMBL2111461",0.014,1
"CHEMBL2742","CHEMBL2742",0.014,1
"CHEMBL5684","CHEMBL5684",0.014,1
"CHEMBL5699","CHEMBL5699",0.014,1
"CHEMBL1163124","CHEMBL1163124",0.015,1
"CHEMBL1805","CHEMBL1805",0.015,1
"CHEMBL2171","CHEMBL2171",0.015,1
"CHEMBL3973","CHEMBL3973",0.015,1
"CHEMBL6082","CHEMBL6082",0.015,1
"CHEMBL2250","CHEMBL2250",0.016,1
"CHEMBL281","CHEMBL281",0.016,1
"CHEMBL3234","CHEMBL3234",0.016,1
"CHEMBL4527","CHEMBL4527",0.016,1
