"","pert_iname","mean","n","median","sd","sRGES"
"1330","peruvoside",-0.845467860007966,3,-0.885351159818556,0.333633237014937,-0.845467860007966
"1727","teniposide",-0.834801343965521,91,-0.945507942367977,0.35031098959236,-0.834801343965521
"1645","SN-38",-0.831800763863295,76,-0.891944095755026,0.297199459353295,-0.831800763863295
"1088","minocycline",-0.802317655078391,1,-0.802317655078391,NA,-0.802317655078391
"215","BMS-387032",-0.802306078682937,36,-0.845234199020601,0.280959947620163,-0.802306078682937
"274","camptothecin",-0.795796796366717,61,-0.843217450579414,0.303385209855569,-0.795796796366717
"1467","pyrithyldione",-0.78833463665209,1,-0.78833463665209,NA,-0.78833463665209
"799","homoharringtonine",-0.768187467875046,65,-0.772485965895444,0.244477643534446,-0.768187467875046
"32","actinomycin-d",-0.74744078890448,3,-0.728357191547376,0.0946667799540879,-0.74744078890448
"132","ataluren",-0.743353783231084,1,-0.743353783231084,NA,-0.743353783231084
"828","idarubicin",-0.724765024043157,86,-0.822499651310581,0.368951913005985,-0.724765024043157
"1375","pipemidic-acid",-0.716845202432594,2,-0.716845202432594,0.186657873902175,-0.716845202432594
"22","acefylline",-0.716257668711656,1,-0.716257668711656,NA,-0.716257668711656
"937","latamoxef",-0.704149224245819,1,-0.704149224245819,NA,-0.704149224245819
"1471","pyrvinium-pamoate",-0.700628369761541,64,-0.704234432153112,0.283346343848933,-0.700628369761541
"401","closantel",-0.697171097477846,1,-0.697171097477846,NA,-0.697171097477846
"1084","miglitol",-0.691547375596455,1,-0.691547375596455,NA,-0.691547375596455
"1697","suprofen",-0.691197622337162,1,-0.691197622337162,NA,-0.691197622337162
"1366","PIK-75",-0.689663573207799,65,-0.821817988052231,0.398074598502226,-0.689663573207799
"1094","mitoxantrone",-0.686024263554817,77,-0.706884798909339,0.342358875978956,-0.686024263554817
"223","bortezomib",-0.684170149636679,87,-0.858457388188564,0.366682058612041,-0.684170149636679
"441","dabrafenib",-0.683783379436539,12,-0.869007205155571,0.462172752459382,-0.683783379436539
"1282","palbociclib",-0.678385355272328,47,-0.66086360734057,0.377650583243709,-0.678385355272328
"1470","pyrvinium",-0.677787286773246,7,-0.689331970006817,0.216020360559327,-0.677787286773246
"834","ifosfamide",-0.671599803659588,1,-0.671599803659588,NA,-0.671599803659588
"130","AT-7519",-0.667635473394991,52,-0.680125055204027,0.316142174691823,-0.667635473394991
"442","dacarbazine",-0.666666666666667,1,-0.666666666666667,NA,-0.666666666666667
"882","ivermectin",-0.658823715639872,14,-0.643996902511457,0.14107860212831,-0.658823715639872
"300","CD-437",-0.654600623295921,67,-0.730393259692308,0.342615631382552,-0.654600623295921
"1761","thonzonium",-0.646378263100624,1,-0.646378263100624,NA,-0.646378263100624
"60","alvocidib",-0.645271524261912,96,-0.698635672604784,0.372300719106638,-0.645271524261912
"575","enilconazole",-0.644503689140161,1,-0.644503689140161,NA,-0.644503689140161
"890","JTC-801",-0.643041681786755,5,-0.617918822064496,0.100593105338798,-0.643041681786755
"888","JNJ-7706621",-0.641452200591534,14,-0.717360910691416,0.25054937521246,-0.641452200591534
"1458","puromycin",-0.638230359220217,30,-0.692585911186925,0.249870842508304,-0.638230359220217
"1230","NVP-BEZ235",-0.634530429888237,85,-0.71070687694112,0.353398956901569,-0.634530429888237
"1677","sulfachlorpyridazine",-0.625928365350113,1,-0.625928365350113,NA,-0.625928365350113
"92","amsacrine",-0.624460242163723,22,-0.675949867746631,0.242370871418168,-0.624460242163723
"786","haloprogin",-0.622977465107301,3,-0.674164962508521,0.15417574948152,-0.622977465107301
"420","cromoglicic-acid",-0.619963811839547,1,-0.619963811839547,NA,-0.619963811839547
"746","GR-103691",-0.616223585548739,3,-0.669222903885481,0.0926844287051382,-0.616223585548739
"391","clofilium",-0.613437153367102,3,-0.599513914089036,0.0464952964757784,-0.613437153367102
"220","BMY-45778",-0.607735708539202,9,-0.647741589617325,0.244875314828693,-0.607735708539202
"261","BVT-948",-0.60630003216167,10,-0.692565409668921,0.330088619096062,-0.60630003216167
"1921","YM-155",-0.603564262391627,58,-0.747857524521215,0.402741364186065,-0.603564262391627
"1055","methotrexate",-0.597692846073283,10,-0.595639737039067,0.360660316420806,-0.597692846073283
"1795","topotecan",-0.596673055412124,26,-0.642032659828641,0.215140383412088,-0.596673055412124
"860","iopromide",-0.596105597797284,1,-0.596105597797284,NA,-0.596105597797284
"1674","sulconazole",-0.595639167313884,13,-0.621336059986367,0.288308618688574,-0.595639167313884
"1774","tioguanine",-0.594066555775646,3,-0.601047656420325,0.0804082519266391,-0.594066555775646
"1906","WYE-125132",-0.589495172756596,65,-0.641688472033145,0.377787700552676,-0.589495172756596
"402","clotrimazole",-0.587726492697646,5,-0.591845202432594,0.102862546613685,-0.587726492697646
"588","epirubicin",-0.585840275375911,4,-0.629085518735043,0.252176993959702,-0.585840275375911
"1409","pralidoxime",-0.584006074961565,1,-0.584006074961565,NA,-0.584006074961565
"1079","miconazole",-0.582080643482985,3,-0.566802999318337,0.223555837146771,-0.582080643482985
"387","clofarabine",-0.581356918092332,14,-0.654307059294006,0.230955771393544,-0.581356918092332
"103","anisomycin",-0.576719216088782,24,-0.733976452613706,0.472165030620871,-0.576719216088782
"537","dorzolamide",-0.576507779119711,1,-0.576507779119711,NA,-0.576507779119711
"951","levocetirizine",-0.576086200398301,2,-0.576086200398301,0.0032598673542963,-0.576086200398301
"733","gemcitabine",-0.576023362585671,82,-0.669413821218071,0.422486218593205,-0.576023362585671
"1718","tegaserod",-0.575233229162352,10,-0.589033341491899,0.299580313170918,-0.575233229162352
"366","cinchocaine",-0.572597137014315,1,-0.572597137014315,NA,-0.572597137014315
"321","CGK-733",-0.572047073634678,23,-0.685071574642127,0.303127457169461,-0.572047073634678
"1318","penfluridol",-0.57055335027112,23,-0.612304021813224,0.235462215536405,-0.57055335027112
"436","CYT-997",-0.5662688282678,40,-0.612632575645959,0.359321782414038,-0.5662688282678
"44","alexidine",-0.565670963680344,4,-0.594746732095643,0.321701173357948,-0.565670963680344
"1111","monensin",-0.561179277436946,1,-0.561179277436946,NA,-0.561179277436946
"457","daunorubicin",-0.560641789358013,107,-0.575826115861361,0.346517393940444,-0.560641789358013
"299","CD-1530",-0.560242135516047,44,-0.635301235152431,0.259705170523243,-0.560242135516047
"170","benproperine",-0.555555555555555,2,-0.555555555555555,0.179307241037079,-0.555555555555555
"1715","targinine",-0.554864970667086,2,-0.554864970667086,0.16749802758168,-0.554864970667086
"1446","propylthiouracil",-0.554353723223324,1,-0.554353723223324,NA,-0.554353723223324
"306","cefepime",-0.55111582274616,1,-0.55111582274616,NA,-0.55111582274616
"1954","ZM-39923",-0.550780938870397,3,-0.558623040218132,0.0987386442210672,-0.550780938870397
"1703","tacedinaline",-0.550187639820799,49,-0.594994538836144,0.316540917124166,-0.550187639820799
"1388","piromidic-acid",-0.547707506454408,1,-0.547707506454408,NA,-0.547707506454408
"1173","niclosamide",-0.546886127203407,94,-0.599218469145406,0.31641192022737,-0.546886127203407
"1850","tyrphostin-A9",-0.546172050846907,26,-0.639054843888417,0.37629582965052,-0.546172050846907
"1575","SANT-1",-0.546007809123591,2,-0.546007809123591,0.0106105002193922,-0.546007809123591
"1532","RO-28-1675",-0.545635412465745,61,-0.612635931812281,0.315235394259529,-0.545635412465745
"544","doxorubicin",-0.544852069491138,79,-0.600706824791149,0.318259282003326,-0.544852069491138
"444","dactinomycin",-0.542973158595715,25,-0.581449837742751,0.261421437805431,-0.542973158595715
"675","florfenicol",-0.541402121314667,1,-0.541402121314667,NA,-0.541402121314667
"1474","quiflapon",-0.539446354343018,39,-0.558102871144251,0.325192861367853,-0.539446354343018
"277","canrenone",-0.538845884095853,1,-0.538845884095853,NA,-0.538845884095853
"873","isoprenaline",-0.537993805022915,1,-0.537993805022915,NA,-0.537993805022915
"555","dyclonine",-0.536289646877039,1,-0.536289646877039,NA,-0.536289646877039
"933","lanatoside-c",-0.536167249130297,6,-0.59559881116858,0.350915976204438,-0.536167249130297
"1270","oxolinic-acid",-0.533912747102931,1,-0.533912747102931,NA,-0.533912747102931
"1257","OSI-027",-0.533461164111351,54,-0.591485051099674,0.380175182633941,-0.533461164111351
"162","belinostat",-0.53219824238488,25,-0.564237840469404,0.263890877016673,-0.53219824238488
"572","emetine",-0.531271745451697,115,-0.583835659146978,0.326760006848599,-0.531271745451697
"835","IKK-16",-0.527762108372424,16,-0.540209210612553,0.25726769913542,-0.527762108372424
"837","IKK-2-inhibitor-V",-0.526490182239791,73,-0.600365993161974,0.331914135242473,-0.526490182239791
"616","ethaverine",-0.526127451026725,3,-0.515337423312883,0.0787814646182745,-0.526127451026725
"984","lorglumide",-0.525894282187196,1,-0.525894282187196,NA,-0.525894282187196
"1823","triclosan",-0.525302924910493,14,-0.573189131550312,0.224551633523149,-0.525302924910493
"1286","panobinostat",-0.525098012114751,73,-0.543787942718893,0.410872615568907,-0.525098012114751
"1725","tenatoprazole",-0.524880708929789,1,-0.524880708929789,NA,-0.524880708929789
"1836","triptolide",-0.524456930870909,89,-0.666828160851136,0.376348668509149,-0.524456930870909
"1197","NNC-55-0396",-0.523963306250867,14,-0.588957055214724,0.256077245458619,-0.523963306250867
"1384","pirfenidone",-0.52087593728698,2,-0.52087593728698,0.0502494082745044,-0.52087593728698
"949","levobunolol",-0.518916155419223,1,-0.518916155419223,NA,-0.518916155419223
"1267","oxiconazole",-0.517516961413581,5,-0.6013884880495,0.301934375997701,-0.517516961413581
"991","luteolin",-0.51524514893007,3,-0.513113096093126,0.056559454149742,-0.51524514893007
"250","buparlisib",-0.513821763409536,30,-0.561450941861771,0.35542734310056,-0.513821763409536
"1799","torin-2",-0.512096752005894,61,-0.578123373191972,0.365727944132923,-0.512096752005894
"28","acetylcholine",-0.511749769576425,2,-0.511749769576425,0.137613487408834,-0.511749769576425
"1824","tridihexethyl",-0.510045611430549,1,-0.510045611430549,NA,-0.510045611430549
"1294","paromomycin",-0.509875195615962,1,-0.509875195615962,NA,-0.509875195615962
"203","bisindolylmaleimide-ix",-0.508739387350604,19,-0.602581398751613,0.249655224541926,-0.508739387350604
"1075","MG-132",-0.507424544624866,47,-0.592526865690945,0.3801263666174,-0.507424544624866
"466","dequalinium",-0.505453306066803,2,-0.505453306066803,0.185573354299128,-0.505453306066803
"1798","torin-1",-0.505010046913824,67,-0.522315550080856,0.415971045125527,-0.505010046913824
"199","bimatoprost",-0.504937597807981,2,-0.504937597807981,0.049171197216613,-0.504937597807981
"1142","nalidixic-acid",-0.503067484662577,1,-0.503067484662577,NA,-0.503067484662577
"1771","tiletamine",-0.501354404886582,1,-0.501354404886582,NA,-0.501354404886582
"143","azacitidine",-0.500782573174004,19,-0.618438991138378,0.370444439974626,-0.500782573174004
"622","ethoxyquin",-0.498968583482356,1,-0.498968583482356,NA,-0.498968583482356
"1550","RS-102895",-0.497269523410833,7,-0.501022494887526,0.237885369224893,-0.497269523410833
"1947","ZK-164015",-0.493906906240023,15,-0.65660321197588,0.408068282652393,-0.493906906240023
"376","citiolone",-0.493519738230612,2,-0.493519738230612,0.0773560898055188,-0.493519738230612
"1913","XL-147",-0.491804929096324,16,-0.618945777767081,0.335464346046941,-0.491804929096324
"1436","proglumide",-0.491299871825914,1,-0.491299871825914,NA,-0.491299871825914
"1103","moclobemide",-0.49011142193886,4,-0.478518685731845,0.248016126775864,-0.49011142193886
"62","AM-251",-0.488665861391572,6,-0.517974407623932,0.169195576442337,-0.488665861391572
"378","cladribine",-0.485573380918043,11,-0.578561690524881,0.303282681095247,-0.485573380918043
"4","2-aminobenzenesulfonamide",-0.484398031335116,2,-0.484398031335116,0.150266216111047,-0.484398031335116
"861","ioversol",-0.48380157598406,1,-0.48380157598406,NA,-0.48380157598406
"796","hexylresorcinol",-0.483725289706885,2,-0.483725289706885,0.057479538961483,-0.483725289706885
"1183","nifurtimox",-0.483290328540297,1,-0.483290328540297,NA,-0.483290328540297
"329","CGP-71683",-0.481568206488539,15,-0.60633054667254,0.299573986431805,-0.481568206488539
"1953","ZM-336372",-0.481444448570987,50,-0.541913368758429,0.265787846916117,-0.481444448570987
"1800","tosedostat",-0.480756038982906,49,-0.593038113134708,0.32348932667517,-0.480756038982906
"1948","ZK-93423",-0.479327916702586,17,-0.477164280845262,0.365160652150545,-0.479327916702586
"1902","WAY-170523",-0.475875490106009,13,-0.557250792071313,0.276722641831232,-0.475875490106009
"632","etoposide",-0.475441907097028,35,-0.651840490797546,0.403599955764248,-0.475441907097028
"974","lofepramine",-0.474661875021272,3,-0.416155419222904,0.175670521876546,-0.474661875021272
"373","cisplatin",-0.474101559967704,5,-0.685314920567569,0.462618292218957,-0.474101559967704
"479","diacerein",-0.470684019075874,2,-0.470684019075874,0.182915997835413,-0.470684019075874
"1338","PHA-793887",-0.470419062092978,59,-0.492574634269,0.346211420691759,-0.470419062092978
"340","chlorhexidine",-0.470117453298936,3,-0.504430811179277,0.122444930164555,-0.470117453298936
"1102","mocetinostat",-0.46968226856329,16,-0.532370083141524,0.309877648813947,-0.46968226856329
"703","fosfosal",-0.468634568485764,1,-0.468634568485764,NA,-0.468634568485764
"580","entinostat",-0.46565580191962,58,-0.53069534814377,0.342630132634788,-0.46565580191962
"71","AMG-9810",-0.46193689942339,15,-0.532029251512349,0.258397210719834,-0.46193689942339
