"","GeneID"
"1",2115
"2",672
"3",6676
"4",1001
"5",5873
"6",949
"7",3385
"8",5909
"9",5050
"10",5891
"11",4998
"12",581
"13",6790
"14",332
"15",3383
"16",8318
"17",25805
"18",5836
"19",4605
"20",79006
"21",2184
"22",8985
"23",27346
"24",8821
"25",3312
"26",9761
"27",8914
"28",2597
"29",4172
"30",10112
"31",10007
"32",6772
"33",8869
"34",6509
"35",6697
"36",2582
"37",991
"38",3925
"39",9928
"40",6696
"41",1846
"42",6909
"43",1017
"44",3553
"45",5880
"46",813
"47",79094
"48",348
"49",7153
"50",5111
"104",3909
"144",2263
"187",2736
"213",1906
"295",29911
"322",4616
"359",4792
"496",1759
"498",2625
"546",54733
"602",2690
"739",2185
"787",25803
"799",652
"850",7538
"902",23149
"971",10451
"1017",9053
"1020",3775
"1079",56924
"1165",2886
"1281",1956
"1443",5603
"1458",1831
"1673",4783
"1751",79170
"1836",154
"1871",2353
"2067",3725
"2098",2624
"2663",1052
"2901",1050
