"","log2FoldChange","AveExpr","t","pvalue","padj","Symbol","tax_id","GeneID","LocusTag","chromosome","map_location","description","type","Symbol_autho","name","status","other","value","up_down"
"666",-8.43923907201608,0.21106604003549,-3.81607431552638,0.000120293837762488,0.000152329895807793,"USP9Y",9606,8287,"NULL","Y","Yq11.2","ubiquitin specific peptidase 9, Y-linked","protein-coding","USP9Y","ubiquitin specific peptidase 9, Y-linked","O","deubiquitinating enzyme FAF-Y|fat facets",-8.43923907201608,"down"
"1625",-7.43783586989347,-0.267067416124773,-3.49277714732982,0.000364439762355935,0.000453351858459463,"TXLNGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.43783586989347,"down"
"26005",-6.40435753468247,2.96919222721581,-3.65828137677492,0.000205466840642703,0.000258032735045988,"GABRA1",9606,2554,"NULL","5","5q34","gamma-aminobutyric acid (GABA) A receptor, alpha 1","protein-coding","GABRA1","gamma-aminobutyric acid (GABA) A receptor, alpha 1","O","GABA(A) receptor subunit alpha-1|GABA(A)",-6.40435753468247,"down"
"26568",-6.34740844710548,2.43656919385625,-3.76222390580069,0.000143101228459351,0.000180757984871321,"KCNC2",9606,3747,"NULL","12","12q14.1","potassium voltage-gated channel, Shaw-related subfamily, member 2","protein-coding","KCNC2","potassium voltage-gated channel, Shaw-related subfamily, member 2","O","potassium voltage-gated channel subfamil",-6.34740844710548,"down"
"32464",-5.82282295758306,1.50052607454027,-3.60922111070043,0.000242399473778738,0.000303522648200929,"RP11-746M1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.82282295758306,"down"
"32602",-5.80469502367108,5.18908150032215,-3.69578187089733,0.000179990407966927,0.000226563056557093,"L1CAM",9606,3897,"NULL","X","Xq28","L1 cell adhesion molecule","protein-coding","L1CAM","L1 cell adhesion molecule","O","antigen identified by monoclonal antibod",-5.80469502367108,"down"
"32671",-5.79434898895055,0.261736173813556,-3.88322529520936,9.3067758542196e-05,0.000118357119728213,"LINC01123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.79434898895055,"down"
"32897",-5.76416728155728,0.0433866857612929,-3.83848346961236,0.000109129626360483,0.000138380939474079,"SLC17A6",9606,57084,"NULL","11","11p14.3","solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6","protein-coding","SLC17A6","solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6","O","differentiation-associated BNPI|differen",-5.76416728155728,"down"
"32950",-5.75783073333634,0.386196481024321,-3.66313110540883,0.000201444148287862,0.000253062267345412,"SLC6A7",9606,6534,"NULL","5","5q32","solute carrier family 6 (neurotransmitter transporter, L-proline), member 7","protein-coding","SLC6A7","solute carrier family 6 (neurotransmitter transporter, L-proline), member 7","O","brain-specific L-proline transporter|sod",-5.75783073333634,"down"
"33031",-5.74773826929285,4.15311463046016,-3.82637861366417,0.000113907733155097,0.000144346043868624,"VGF",9606,7425,"NULL","7","7q22.1","VGF nerve growth factor inducible","protein-coding","VGF","VGF nerve growth factor inducible","O","neuro-endocrine specific protein VGF|neu",-5.74773826929285,"down"
