"","target","p","padj"
"Protein Synthesis Inhibitors","Protein Synthesis Inhibitors",0,0
"Antiviral Agents","Antiviral Agents",0.004,0.488
"Antifungal Agents","Antifungal Agents",0.023,1
"Radiation-Sensitizing Agents","Radiation-Sensitizing Agents",0.029,1
"Anti-Anxiety Agents","Anti-Anxiety Agents",0.048,1
"Estrogens","Estrogens",0.06,1
"Histone Deacetylase Inhibitors","Histone Deacetylase Inhibitors",0.071,1
"Topoisomerase II Inhibitors","Topoisomerase II Inhibitors",0.071,1
"Immunosuppressive Agents","Immunosuppressive Agents",0.072,1
"Anti-Infective Agents, Local","Anti-Infective Agents, Local",0.077,1
"Antiprotozoal Agents","Antiprotozoal Agents",0.081,1
"Antineoplastic Agents, Alkylating","Antineoplastic Agents, Alkylating",0.086,1
"Amebicides","Amebicides",0.103,1
"Emetics","Emetics",0.103,1
"Neuroprotective Agents","Neuroprotective Agents",0.107,1
"Cathartics","Cathartics",0.12,1
"Cytochrome P-450 CYP2C9 Inhibitors","Cytochrome P-450 CYP2C9 Inhibitors",0.127,1
"Cytochrome P-450 CYP2D6 Inhibitors","Cytochrome P-450 CYP2D6 Inhibitors",0.127,1
"Cytochrome P-450 CYP3A Inhibitors","Cytochrome P-450 CYP3A Inhibitors",0.127,1
"Potassium Channel Blockers","Potassium Channel Blockers",0.127,1
"Enzyme Inhibitors","Enzyme Inhibitors",0.161,1
"Phosphodiesterase Inhibitors","Phosphodiesterase Inhibitors",0.184,1
"Cysteine Proteinase Inhibitors","Cysteine Proteinase Inhibitors",0.196,1
"Anti-Arrhythmia Agents","Anti-Arrhythmia Agents",0.199,1
"Antitussive Agents","Antitussive Agents",0.213,1
"Serotonin Antagonists","Serotonin Antagonists",0.238,1
"Muscle Relaxants, Central","Muscle Relaxants, Central",0.239,1
"Uricosuric Agents","Uricosuric Agents",0.239,1
"Cytochrome P-450 CYP3A Inducers","Cytochrome P-450 CYP3A Inducers",0.254,1
"Nucleic Acid Synthesis Inhibitors","Nucleic Acid Synthesis Inhibitors",0.257,1
"Anti-Bacterial Agents","Anti-Bacterial Agents",0.26,1
"Antitubercular Agents","Antitubercular Agents",0.278,1
"Adrenergic alpha-1 Receptor Antagonists","Adrenergic alpha-1 Receptor Antagonists",0.3,1
"Cardiotonic Agents","Cardiotonic Agents",0.312,1
"Antineoplastic Agents, Phytogenic","Antineoplastic Agents, Phytogenic",0.323,1
"Indicators and Reagents","Indicators and Reagents",0.333,1
"Antibiotics, Antineoplastic","Antibiotics, Antineoplastic",0.34,1
"Glucocorticoids","Glucocorticoids",0.345,1
"Protein Kinase Inhibitors","Protein Kinase Inhibitors",0.349,1
"Anti-Ulcer Agents","Anti-Ulcer Agents",0.368,1
"Gastrointestinal Agents","Gastrointestinal Agents",0.372,1
"Antidepressive Agents, Second-Generation","Antidepressive Agents, Second-Generation",0.378,1
"Adrenergic alpha-2 Receptor Agonists","Adrenergic alpha-2 Receptor Agonists",0.387,1
"Sympatholytics","Sympatholytics",0.387,1
"Analgesics","Analgesics",0.389,1
"Cardiovascular Agents","Cardiovascular Agents",0.396,1
"HIV Protease Inhibitors","HIV Protease Inhibitors",0.397,1
"Cytochrome P-450 CYP1A2 Inhibitors","Cytochrome P-450 CYP1A2 Inhibitors",0.398,1
"Estrogen Antagonists","Estrogen Antagonists",0.407,1
"Antimetabolites, Antineoplastic","Antimetabolites, Antineoplastic",0.416,1
"Anthelmintics","Anthelmintics",0.442,1
"Insecticides","Insecticides",0.442,1
"Voltage-Gated Sodium Channel Blockers","Voltage-Gated Sodium Channel Blockers",0.444,1
"Anticarcinogenic Agents","Anticarcinogenic Agents",0.45,1
"Narcotic Antagonists","Narcotic Antagonists",0.464,1
"Anti-Inflammatory Agents","Anti-Inflammatory Agents",0.466,1
"Antiemetics","Antiemetics",0.473,1
"Analgesics, Non-Narcotic","Analgesics, Non-Narcotic",0.485,1
"Topoisomerase I Inhibitors","Topoisomerase I Inhibitors",0.515,1
"Antiparasitic Agents","Antiparasitic Agents",0.522,1
"Anticestodal Agents","Anticestodal Agents",0.533,1
"Anti-Inflammatory Agents, Non-Steroidal","Anti-Inflammatory Agents, Non-Steroidal",0.549,1
"Adjuvants, Immunologic","Adjuvants, Immunologic",0.551,1
"Anti-Infective Agents","Anti-Infective Agents",0.552,1
"Antidepressive Agents","Antidepressive Agents",0.552,1
"Anticonvulsants","Anticonvulsants",0.571,1
"Intercalating Agents","Intercalating Agents",0.572,1
"Adrenergic alpha-1 Receptor Agonists","Adrenergic alpha-1 Receptor Agonists",0.585,1
"Nasal Decongestants","Nasal Decongestants",0.585,1
"Vasoconstrictor Agents","Vasoconstrictor Agents",0.585,1
"Vasodilator Agents","Vasodilator Agents",0.594,1
"Immunologic Factors","Immunologic Factors",0.597,1
"Protease Inhibitors","Protease Inhibitors",0.597,1
"Myeloablative Agonists","Myeloablative Agonists",0.603,1
"Antinematodal Agents","Antinematodal Agents",0.608,1
"Hypoglycemic Agents","Hypoglycemic Agents",0.641,1
"Antineoplastic Agents, Hormonal","Antineoplastic Agents, Hormonal",0.653,1
"Platelet Aggregation Inhibitors","Platelet Aggregation Inhibitors",0.655,1
"Antineoplastic Agents","Antineoplastic Agents",0.663,1
