"log2FoldChange","logCPM","LR","pvalue","padj","identifier","value","up_down","gene","tax_id","GeneID","LocusTag","chromosome","map_location","description","type","Symbol_autho","name","status","other"
-2.51962730147855,7.79041356632469,63.7770355357073,1.39328297745648e-15,2.30003153918515e-11,"ENSG00000005379",-2.51962730147855,"down","BZRAP1",9606,9256,"NULL","17","17q22-q23","benzodiazapine receptor (peripheral) associated protein 1","protein-coding","BZRAP1","benzodiazapine receptor (peripheral) associated protein 1","O","RIMS-binding protein 1|peripheral benzod"
2.26620579395638,7.88542025727301,54.9682929795043,1.22490005000996e-13,2.00124170170628e-09,"ENSG00000005513",2.26620579395638,"up","SOX8",9606,30812,"NULL","16","16p13.3","SRY (sex determining region Y)-box 8","protein-coding","SOX8","SRY (sex determining region Y)-box 8","O","transcription factor SOX-8"
-2.51465496900508,1.50797114357327,38.6821662700485,4.98745195503392e-10,7.85623431956943e-06,"ENSG00000005981",-2.51465496900508,"down","ASB4",9606,51666,"NULL","7","7q21-q22","ankyrin repeat and SOCS box containing 4","protein-coding","ASB4","ankyrin repeat and SOCS box containing 4","O","ankyrin repeat and SOCS box protein 4|an"
2.28828949547075,6.07284035713086,81.5945156935096,1.67077136046262e-19,2.78985401770048e-15,"ENSG00000006468",2.28828949547075,"up","ETV1",9606,2115,"NULL","7","7p21.3","ets variant 1","protein-coding","ETV1","ets variant 1","O","ETS translocation variant 1|ets variant "
2.30204872764453,2.07871423158409,105.39357928034,1.00133822163439e-24,1.68314941674525e-20,"ENSG00000006634",2.30204872764453,"up","DBF4",9606,10926,"NULL","7","7q21.3","DBF4 homolog (S. cerevisiae)","protein-coding","DBF4","DBF4 homolog (S. cerevisiae)","O","DBF4-type zinc finger-containing protein"
-2.64597480602498,0.884410053634011,56.3389459829087,6.09952218073153e-14,9.98247800098522e-10,"ENSG00000007001",-2.64597480602498,"down","UPP2",9606,151531,"NULL","2","2q24.1","uridine phosphorylase 2","protein-coding","UPP2","uridine phosphorylase 2","O","UPase 2|liver-specific uridine phosphory"
-2.32176224566944,4.86440885936517,32.4970682098381,1.19372477369163e-08,0.000182723451108977,"ENSG00000007264",-2.32176224566944,"down","MATK",9606,4145,"NULL","19","19p13.3","megakaryocyte-associated tyrosine kinase","protein-coding","MATK","megakaryocyte-associated tyrosine kinase","O","CSK homologous kinase|Csk-homologous kin"
2.10448933739272,1.21235752074957,36.1561190977164,1.82125700643024e-09,2.84025030152796e-05,"ENSG00000008516",2.10448933739272,"up","MMP25",9606,64386,"NULL","16","16p13.3","matrix metallopeptidase 25","protein-coding","MMP25","matrix metallopeptidase 25","O","leukolysin|matrix metallopeptidase-like "
-2.07080940447781,7.95738928367112,31.1075882318472,2.44115209300636e-08,0.000370933060532317,"ENSG00000008735",-2.07080940447781,"down","MAPK8IP2",9606,23542,"NULL","22","22q13.33","mitogen-activated protein kinase 8 interacting protein 2","protein-coding","MAPK8IP2","mitogen-activated protein kinase 8 interacting protein 2","O","C-Jun-amino-terminal kinase-interacting "
-2.7489715721709,2.89757763721268,34.606744326132,4.03505854611755e-09,6.24586712353536e-05,"ENSG00000010379",-2.7489715721709,"down","SLC6A13",9606,6540,"NULL","12","12p13.3","solute carrier family 6 (neurotransmitter transporter, GABA), member 13","protein-coding","SLC6A13","solute carrier family 6 (neurotransmitter transporter, GABA), member 13","O","GABA transport protein|sodium- and chlor"
-2.42571069175863,3.25684556022054,32.1347587992515,1.43840683240638e-08,0.000219716643650075,"ENSG00000010438",-2.42571069175863,"down","PRSS3",9606,5646,"RP11-176F3.3","9","9p11.2","protease, serine, 3","protein-coding","PRSS3","protease, serine, 3","O","brain trypsinogen|mesotrypsin|mesotrypsi"
2.27894589395188,4.86250407681767,62.8703679477316,2.20768761494889e-15,3.64091841457371e-11,"ENSG00000011028",2.27894589395188,"up","MRC2",9606,9902,"NULL","17","17q23.2","mannose receptor, C type 2","protein-coding","MRC2","mannose receptor, C type 2","O","C-type lectin domain family 13 member E|"
2.56495240365364,3.72638128186574,111.661622990849,4.2380767870405e-26,7.13056419419564e-22,"ENSG00000011052",2.56495240365364,"up","NME2",9606,4831,"NULL","17","17q21.3","NME/NM23 nucleoside diphosphate kinase 2","protein-coding","NME2","NME/NM23 nucleoside diphosphate kinase 2","O","NDP kinase B|c-myc purine-binding transc"
